RId,Text,Rating
eADyGm_ogUv_HerbzX4EWw,"Inside the Lenox Hotel

First, we walked in and there was only one little table available for us to sit at, but it was perfect for just the wifey and I. We...",5
-ek9pb_g3S8SQa5c-lsNyA,"Great cocktail list. Strong, tasty drinks. We always grab a drink here before dinner when we stay at the Lenox. Raw bar is surprisingly good and their...",5
jvvOAem-114MIRwhTc3yyA,"I sauntered up to the bar, I was surprised when Maisie Williams' blonde sister turned around to greet me. A twinkle in her eye, and maybe murder in her...",5
PIyS7TGBmNeuQl-A3vmJUg,I ate at Toro 2 days ago after it was highly recommended to me by friends & it definitely did not disappoint! The cocktails were delicious & the food was...,5
WY8Mtkb4Di3lFZVSWX1Cfg,Such an amazing little tapas place! I had gone right when the opening phase of coronavirus had reopen restaurants. Toro had accommodated the requirements...,5
-64uBUxZ4hk0BYxpqb82Tg,"Ahhhhh what is not to like. One of the best restaurants and experiences in Boston. The service is great. The food is unbelievable. The cocktails, wine, and...",5
-rbhNRiC8uofVQp7haZh0g,"Came here on a night because of taco cravings and it was really a pleasant experience!

Partially was because when we came, there was no one else here so...",4
Dad96JsNVSq-84B2XSyqsA,"This was my first ""nice"" outdoor dining experience since the pandemic started and I had an amazing time! The restaurant is situated in a walled outdoor...",5
J3q3nzI7_QyqsGjyhU7uqg,"Enjoyed a date night here in Cosmica's cozy outdoor patio. The space is charming and has lots of Instagram worthy shots, from the signage to the drinks it's...",4
11ikGbHo3I58hcj0WVsfNg,"Great find. This was exactly what I was looking for after a long day of work. Good food (Steak tips), good beer selection and Great Service. Weird times...",5
FNeO-xxNtyT2ChAR7rcnhg,"highly recommend the beyond burger (their standard burger is good too, I just prefer beyond meat)

their fried chicken sandwich is also great

only think...",5
0dFwHl_cLOTDVk_fbN3amQ,"Great burger spot in Chinatown.  If you're looking to get some non-Asian food in the area, this place has great burgers and a great place to watch a game....",4
hrUf0AnqJq1vBX36XsAcAQ,"You MUST come here if you're visiting Boston. This is one of the coolest restaurants I've been to, in terms of the food, the decor, music, and overall...",5
vuM9Z8EI9enzvFD-A0whLg,Absolutely AMAZING. I had low expectations ordering take out from this restaurant but the food and the staff has exceeded everything! I have ordered take...,5
Wv9kAbm-Gcztzlhz_lxNSA,Came here pre-COVID while on a trip to Boston. I'm generally not a fan of Asian fusion but this place did it right. Cool vibe matched with cool food and...,5
E_ar5MpOgK_XDJHsXDOmMw,"Didn't expect it but, The Gallows was truly incredible. The ambience is lovely. The people working there are always so pleasant. Every thing that I have...",5
qGDzpSmzu6oHiI9bJvmAiQ,"This is such an ecclectic space - there's ravens and an edger allan poe poem on the wall, hand lights over the bar, and a huge ouijie board on the wall. The...",5
uKgdOv2xGCGxJlpbXp3Aug,The Gallows has the best burger I've had in Boston so far. And this is coming from someone who loves her burgs! I came in last night with friends for...,5
Pm4wQaDhCH8EumTnyAq6UA,"Used to love this place! Sasha is one of the only people there from the old crew. The service has gone down and they got rid of the best pizza on the menu,...",5
BkuWE_dHRVogjrm9PtzcKw,"This bar isn't what it use to be. Earlier this year they brought in a new manager who drove all the loyal bartenders,  who had been working there for years,...",1
AgMcnXZWKy0RcZvSWMQbmg,"After leaving a PHENOMENAL drag brunch at Carrie Nation, I was told that we were headed to 'THE GAY BAR' so I had high expectations.  When we pulled up I...",3
e8N0dW-Rfn-7yKpRz-HOCQ,Updated hours are 9:30p for Dine-in due to COVID restrictions. Take out till 11p (on most platforms for delivery).,5
8CQiNv0LPE2TOw9FnQt6Zw,"The scenery and music was amazing! I would definitely go back for more food! I ordered the shrimp with fries and side of asparagus, by far the best  meal...",5
t6onupw0OJS3cYtxbN4n1A,A little inconsistent. Ate here twice. First time service was amazing got a regular burger although not cooked medium as asked it was still juicy and...,2
LBg9Yx0iyiovlIcvfpwBvQ,Stopped in midweek for lunch between Christmas and New Years without a reservation about noon. It was a great meal and wonderful experience.  Service was...,5
sRkFh-LxwsKx5m8DeOcfow,Had a great time here. We came on a Sunday and it was busier than we expected but still with covid regulations. As you can tell by the photo I didn't get...,5
H3jHlIbUB0QTmLxKfDwSpg,Kelsi is so sweet and offered amazing service while I was here! The food was amazing and I appreciate all of the extra measures done to make sure guests are...,5
WvxhSES1ffZTw-urxteL2Q,"This place is off the beaten path for the seaport district, which I suppose is why it has taken me this long to come here...but man I've been missing out!...",5
vtkOUohl-6SX18SxB29V7w,"We had FANTASTIC takeout from City Tap House Boston. This is the first time I've ever done takeout brunch, so wasn't sure how this was going to go but I was...",5
4_WQSBj7rH5v0lGjJBaWLQ,"Delicious food! Although they might be short staffed due to the pandemic, service is a little slow. Our server was apologetic about this, and he was very...",5
XBPbYLGMNCuFv8IBYyncIg,"I have to admit, The Tip Tap Room was actually phenomenal. Delightful menu items at great prices, amazing mood to unwind at. I need to admit, Baked Brie was...",5
jx8bfjRF32LsUqKTds6E2g,"American food with a twist: if you're craving an antelope burger, then this is the place to go.

They usually have a featured burger with some sort of...",5
96f2MkDjZXELAiw1sqy7_w,"Had the pleasure of staying near this location, and with so many options nearby and overall in a new city, I am so glad we picked this one!

Most write this...",5
p4qp9FeLaW3LS5gCyVtrOg,"Fruity Pebble Pancakes - $13

Lincoln is a great place to have brunch in Boston! I got the Fruity Pebble Pancakes which is a stack of pancakes topped with...",5
J3eOHwqNgN-8_vB6aEARcw,"If you come here for brunch, make a reservation beforehand! The place gets packed very quickly even though the restaurant is huge. The staff wore their...",4
uzLONLT3kpO4aRlujTNZRg,Came here for late night drinks and food and our waitress was amazing! We're very cautious about covid and they were very good with their rules and made us...,5
nstQuD-lAxW8e-Shi4GcyA,"Avery Bar is sexy. Located in the lobby of the Ritz Carlton, the bar is horse shoe shaped, behind a fireplace. There are also tables and chairs if you...",4
QHiI404488CHYH1t6RNR8w,The room and music is why i gave 2 stars. the drinks were ehh. The food was microscopic and fair. What a great disappointment. I live in the city and im...,2
MvdSHtTE9EFFRS3Oge2aDA,"Cozy, modern, and for now what feels like a hidden gem in the Chinatown/Downtown area. Located in the Ritz-Carlton lobby, which means free WiFi for all. The...",4
gNWR620mat3T6nCsHm3JZA,"This is a true dive bar in the North End. Yes, it's on a corner and yes, we passed it several times before finally going in. You won't find any specialty...",4
F238C8aGgLrcwcVXZqaZyA,"True Score: 3.5 Star Dive Bar for the North End

Best Dive in the North End

A great place to stop for a pint - or two - or whatever kind of booze ya...",3
7uMLYdxNVZbXSygDTRiBdw,"Great dive bar in boston. super small but just exactly what my boyfriend and I needed to grab a few drinks without raking up our tab with food ""to order...",5
DA8aKk6IDeqAG7BpzmCM3g,"This place is simply awesome. Really cool out-of-the-box date concept or fun night with friends or family, especially during this pandemic. We were warmly...",5
w0-5GvATkFojF0tkmgKAzA,"Pre covod review: Came here for a friends birthday and it was a great time. As a warning, once your time is up from the darts area, even if the next group...",4
zFIbyFs50OI8FsiCBjH4aw,"Admittedly, I had a weird feeling walking in and through this place, which is on the second floor in the same building as Tuscan Kitchen Seaport. It's very...",4
wfTTKJw0pK1EdUYl18ZbIg,"Great place. 

Came here with my son (28) to discuss the upcoming season of Chicago Fire during a pandemic. We have high hopes for the new season as a...",5
CT5ZSJ5nMWn26zc39VoDew,"A good divey bar that seems really tied to regulars. Having been to dinners in the area on numerous occasions, I'm surprised I've never even noticed this...",4
Dd2z_0TuTkaRLuuOKRmbFQ,"Gotta love this beer bar right in downtown Boston. Beer, wine, & quick-hit food. What more can you ask for? Owners that run Bukowski are the best too!",5
Rgr4O0X_mIj7oqvRJAp6Xg,Had a really pleasant experience coming here late on a Friday night. I was very easily able to reserve a table and change the time using Opendoor. The...,5
Nx6QyaNodX64r9RDvv6TfQ,Loved this spot right on the exterior of the north end. Definitely Covid friendly and plenty of space between tables in the outdoor section. Great all...,4
X9-ttVo3OTvx56yTsQQzdQ,What a great new patio they have!  This place was always on our favorites list but the patio just took it up another notch! I really hope they get to keep...,5
a8aJOz8eVYV_2AiFFHMC9Q,"This is my go-to spot for hotel bars. It has great drinks all around and even better food, especially during dinner time. Bar 10 could be expensive for...",4
f-tgrSj30FyNCEmyzvAZHg,There's no shortage of bars to go to in the Copley/Back Bay Area for cocktails after work but this was one of those spots I've never even heard of. Luckily...,3
prXKNjLZp79yosuP7gWVRw,Went here because I was staying in the Westin.  Service was pretty good and my drink was good but the food was just alright.  I think it depends on what you...,3
OKtGHxK35QJKrSLmnFNFIA,"A very interesting place, I would highly recommend stopping by. The unmarked door that leads to the second floor off of Mass Ave, that's where you're...",4
udatjkTijBhwDDSxKfxuWg,Solid 3 star spot for cocktails. The drinks are good but the service is extremely SLOW! Even when it isn't that crowded if you wait on the waiter to get you...,3
bvKVuzOpw7jFFk_5_BSQiw,My good friend was giving me recommendations when he learned I'd be in town. He knows I like a good cocktail because it's in my Twitter bio. Anyways my...,5
m5EiiXcJ5OVH7r0lz4gOng,What a cute spot! Was looking for a late brunch spot and stumbled upon this gem I had saved! It was right after brunch so it wasn't to busy we sat down as...,5
xhxlHhsXf4CE-_Iwx5ohnA,The service is amazing. The place has a great vibe and well protected from Covid. The Irish Coffee is the best I ever had. And the cheesy grits are some of...,5
Zje2joPUoNK4saSb1bOgig,"Becca:
Came here on a Sunday morning with a friend from out of town. We joined the ""Yelp waitlist"" which they're apparently no longer doing during COVID....",5
ORqvH2vW-mTZlwzf95HRtA,"Last night we had the most incredible food at Bar Mercato!!! 

We were a group of four and all agreed that everything we had was fabulous. 

I was...",5
HdkrmbdkCtqgq6OV4HzPvA,Great cocktails! Great food! Prompt service! Felt safe during Covid with current precautions! A must try during these times!,5
FGk-Oh5xOrrcKLMOZiSEBQ,Came to Bar Mercato after returning to the office from a long stint of working from home. I had been to lunch here previously (pre-COVID) and was happy to...,5
BDunkD4GubsTWrZ5ORH_Gg,My bf and I went to Boston for the weekend from Miami. We ended up at The Corner Tavern and it was great. Danielle ( I think that was her name) was very...,5
d-xmCIn7up1mki_IRR3U_Q,"Such a friendly place and the food is as tasty as ever. Love the Buffalo chicken wrap, cobb salad and grilled cheese....and of course the tots. Thanks to...",5
Hi-u8luMkVjn1IA-rPvP4w,The Corner Tavern is like stepping back in time to when a local corner pub would serve all your purposes and you would have a great experience a great time...,4
FCpkuwWAMvkbY0MM0LjM4g,Fun tourist spot! Small inside but didn't have to wait at noon on a Friday in October. They were so nice to offer us a big portion of fries for $2 because...,5
ntjdxunypCoFs_-7hqWFdg,"We all know I am a goon, but I can get worse. My earliest memory is watching Cheers with my dad on the floor of our 3rd floor apt. While my mom worked night...",5
1fV6vPyX1yjqkNkEiKvnhg,"A must when visiting Boston. It is kind of touristy but the food and drinks were surprisingly good. Get the clam chowder in a bread bowl!

There was a long...",4
nDYcrf6LWxRNIEWHKIY72g,Okay I've been here 3 times now and each time it's gotten better. I came here with my bf the first weekend it opened and as expected... I guess... (though...,4
dz7DoQSJBSUjYuyDW8Pzqg,"I live in the area and I've been a few times. Bar service + brunch is the way to go here, at least in my experience. 

The good: it's a cool space in the...",4
WlWtkUyVyLf2aG5d1yfKXQ,We came here for lunch during the pandemic. The arrangement was good with outdoor seats and indoor seats by the open window which we sat at because if t was...,4
lgR4upiTlgn7sGEuyggtqQ,We were staying at the Roxy and tried this place right across the street at the recommendation of the hotel. The phone number is wrong for this place and...,5
LusVQlNe6aKkHPqNaWSLxw,Great service! Came out for Valentine's Day date. Great drinks! We got Bloody Marys and the fried pork belly!  Cute garnishs and perfect for Valentine's...,5
CCX6m7Z7n6Yh4vAivZks9w,This place took over the old Ghost Walks location. Large bar area in the middle and seating around the periphery. The seats are separated by plexiglass...,5
6nwO3T8hs5OKLOF9LN9RnQ,"I was looking for the best authentic Nepalese food experience in Boston and I found it. 

First thing foremost is the food. The most perfect and flavorful...",5
UKoz2mwiURLxAtYkWJsVbQ,"Its relatively new restaurant mainly for Nepali x Indian food.  The food was tasty, made spicy or moderate as per request. The ambiance was contemporary and...",5
EH7ljYm8fTk1deThRv8ieg,Amazing! Finally found the right biriyani!!! So good. Perfectly spiced. Chicken 65 was great Chinese/Indo mix. Samosas could be a tad bigger. I love them...,5
mqFAyzfk7arTqt78OpiwhA,"Drinks are good, atmosphere is chill
We are enjoying our post walking tour of Boston,
Sitting down for a drink! If you are lucky you will coach the Tea...",3
AEVZYkTnNa2uMc0Vp7K7SQ,"I was in the city visiting with one of my friends and we had a couple of hours to kill. We wanted something waterfront, fun and close to home! She had...",3
fShKysQQUZ3wzknGTk-knA,"This is a hidden gem of an outdoor bar, and has an incredible atmosphere. Located right on the water, it almost has the feel of a bar you'd find in Aruba....",5
evSJ3YNFKRtVVcAPePr0sw,"What a great spot! We loved everything- the food, the drinks, the service and the atmosphere! 
They had taken COVID 19 Precautions very seriously which was...",5
JvSQY40YhgjdnbjbeJNHuw,"Came here in early September and it was amazing, and kept forgetting to leave a review until now. The waitress described the menu as global tapas, so...",5
kUlCBoZQIF5MjzX8oK6__g,"I felt compelled to leave a 5 star review because the food and the service was exceptional! After dining out a handful of times after COVID, our experiences...",5
8k58j76tBzSNdsQy-jvIdw,"Food was great. 
Our server wasn't. 

Might give this place another try. 
Hopefully we can get a different server.",4
Xy1Ty2R2fAimI6_BGYQOGg,"I try to be understanding of the Covid situation and am *more than happy* to wait a few extra minutes knowing most restaurants are understaffed, but why...",1
tJHzdtcEFkPEsya3wJmp5Q,"I am not someone who goes to Brunch but t wasn't late enough for lunch so we stopped in at Precinct for brunch, selecting it for the outdoor seating.

I am...",5
q5lXwJoAuqx6Hpurs8Nx8g,"Everything you want from a great pizza.  Chewy base, sweet tomatoes, melted mots, fresh basil.  A little burned from the wood fire.  A taste of naples....",5
UQ9CziAZqxYRWRUIEP3NGQ,"Good ambience, average food.

The green goddess salad was smothered with dressing.

The pizzas were average - chewy thin crust and lacking good flavor....",3
rOA0rP-DhNbAzNyP0AZ1Qg,"1 million stars for DELICIOUS food.

Negative stars for...terrible service? It was beyond the beyond. We didn't have enough menus, and asked twice for them....",3
f3u3bYIfwpvJE_sKMa-GaA,I was so glad to see the avenue open up since covid so I could get their chicken wings! They have outdoor setting but I've only done take-out and it was...,5
Uy3jKDRtrD6JJQqlc9n5Tw,The Avenue is one of my favorite neighborhood spots that I have missing a lot since the covid-19 outbreak. My fiance and I went here on a regular basis and...,5
85MdegYIROcU0ZrYrioaOg,"Didn't expect it but, The Avenue was certainly mind-blowing. From the staff to the atmosphere to the prices, no complaints about The Avenue. We had Mind...",4
4cxYbin55CMWy_KBJqSTVA,My friends and I had a great experience at Gather! The safety measures were taken very seriously and despite dining in doors we never felt at risk for...,5
_xCg--UOPfnrQQuxLqyJ7g,"Really enjoy all my experiences here. The chicken & waffle bites as well as pretzel bites are bomb appetizers. Their ""Mocha Collusion"" is one of the most...",4
kcD9ccwiE_eWKuLNDSaXmA,"I've been to Gather for breakfast lunch & dinner so I can say with full certainty that its good any time of the day. Sure, perhaps a waffle with cookies and...",5
F-wY9n2dcoYt24KyV-Wkww,I've heard such great things about Little Donkey but never wanted to make my way across the bridge to eat here. But luckily my friends and I planned a...,4
nrVoE0vRgIkTGF9DBna-SA,"I don't even know where to start! 10/10.

We haven't been to Little Donkey in over 3 years since we moved out of the city... been meaning to go back for so...",5
F-fcID6IuzzW8_vuQbUSTg,"Had a good time here, pre covid. The place is very dimly lit and perfect for an intimate date night. the tapas were all very delicious and inspired- not...",4
VciR6xocXjyexGTg7b6sZA,"This spot is the ultimate spot for #covidsafety
Check-in outside the lobby and get escorted up to the rooftop for drinks, appetizers and maybe more drinks....",5
X6gTXRP4WWgdGdflKCu68Q,"Really blown away by the view-- when we sat down I said if I lived in Southie, I would be here every day. Maybe I spoke too soon. The hostess on the...",3
atHMZzDiYw-nYff2W_cRtQ,What a great rooftop spot in Southie! GREAT VIBES. Would definitely recommend if you have friends visiting the area bc it's a great view of the city and a...,4
YRVon_WgADizSFRfyaq6Bg,We needed a place to watch the rest of the Pats game and have a couple beers and Durty Nelly's was there for us. I wouldn't necessarily recomend watching...,4
OXd8a-oH99Xjz_6BS4vn5w,"TLDR: homely little bar 

Two floors each with its own bar. Not much space but the people are nice. Heard some live music on floor 2 with one guy singing...",5
duXNQ0rTZjQfMEUorSLgUw,"Greatest bar on earth, next to the original in Ireland. I miss my friends. To the folks from out of town-who gave it less than five stars, you're doing it...",5
Dl03feGr6P2NcFxeUdqqnw,"Pre covid review: If everywhere further down on Boylston is crowded, come here. Good beer selection and a patio. They've got live music most nights as well....",4
J6Sbdzhac_BndtTtKvfHiw,"We're from NJ and Caroline was wonderful! She gave us spots to visit and check out and she was an amazing, fun, and exciting waitress. She's the best!!!...",5
xfk1In-aYhFz-Q3sjBsP9Q,Date night on our fist night in Boston and this place hit the spot. I was looking for somewhat authentic Irish Pub and food and this place hit the spot....,5
hp60emMbdCDNWm8N4cJvQA,"Place slaps, a little wait but well worth it!

Phillip is the real one! Great mustache!",5
hQvlpJlPdQOwdpENm4_hDg,Swanky cocktail spot with a HUGE variety of cocktails to choose from. They really have something for everyone's tastes. The housemade shrubs are super...,3
YNO_Xbrzs1uZvzkVfHc1DQ,"Went for brunch with a friend during covid restrictions - it was good! Would want to come back when it's more firm in its direction.

We had an outdoor...",3
Mwt9zRCqFlZ7jSRM8LVcgw,"*Review based solely on FOOD* 
Presentation: 3.5
Texture: 4.5
Flavor: 4
Would return? Yes
Must-try: Sesame-Crusted Feta

I've been here many times and the...",4
y6zYCzyXESZSGdVCmqYjiQ,"Weekend brunch with old-school hip hop playing is all I need.

Pre-COVID days - Committee offered a lively atmosphere and delicious Greek bites....",4
Nz6Z4pn4m1JqPbZUx3neeQ,"Greek + tapas = mindblown. I LOVED everything I ate here. We had a number of dishes (as all parties should at tapas). Pictures attached!

My personal...",5
p1_LnPgRhpbSbDuOYfhxpg,Overall: Alcove is a cute spot near Lovejoy Wharf with great food and cocktail choices. Plenty of outdoor seating and very accommodating with reservations....,5
MYZWbBva9AUqB9jLOQLQGA,pre covid review: A plethora of vegetarian options to be had and a brilliant drink menu. We had 4 cocktails and I really enjoyed 3 of them (the Spanish...,5
E1-ETZXQZjIPYFQ8JPwKCQ,"Yesterday was our first time dining out since Covid 19, and I'm so glad we went to Alcove! It was the best way to ease back in to a social climate with...",5
1U-_0pfxraQn59HckFQDMA,I have only ever ordered delivery and have been more than impressed. The fried chicken is just as crispy delivered as I imagine it is in person. On top of...,5
ZwHpRyKvOj1lQu1LGSEKtA,This is one of my favorite restaurants in Cambridge  for in dining and DoorDash takeout. The consistent quality and execution is exceptional. I love their...,5
y0xcR55uMP6pe0DcnCmfPg,I got delivery through Door Dash from the Kendall location. I was already a fan of their food as I had previously enjoyed my meal when I visited their...,4
Jz68EsRpkON40dl985zsxQ,"Modern, minimalistic, and always a great dining experience! 

We've been here 3x since our move to Boston and love the food each time. The ambiance is...",4
LBWtTR6o6mWYXIljLIGfzg,This zuma is top notch! The cocktails are top of the line with exquisite unique flavors. New years eve was the best party in boston even though the...,5
JEXrfJK9cnpHG4beH3cJAg,"Such a beautiful restaurant! Clean, simple yet elegant decor. The food was amazing, we had 5 different courses of sushi, we also shared the shrimp tempura...",5
gqM4e9VGLvYiuygCDy_vSw,I absolutely love this place for a little neighborhood bar.  The food is outstanding every single time.  They've been making some changes lately though that...,4
gFzgXoVpvvG1kZHRxXsHkw,"The renegade burger was one of the best burgers I ever had, I recommend it with the onion rings. I ordered takeout service and it was fast and fresh. The...",5
7VajW6Jg34Y_U80MT-Q7rQ,"This is our favorite East Boston casual bar for food. They always have a great beer selection, and the pretzels and wings are awesome. As a vegetarian I'm a...",5
p08E8VGptD9uEcC5uyOjWQ,"Before COVID, I had only gone to The Publick House a couple of times for drinks on Friday and Saturday nights. They were good, at reasonable prices, it has...",5
j7ixmd2FErOa_-X8Ow0sXw,"I'll be completely honest this restaurant was not on our radar at all, however, when I saw how they handled a team member getting covid I was very...",4
fH3DZNVD0gs6vkXiYy_Lwg,"This was our first time here!! Pleasantly surprised!!!! Good atmosphere, adhering to COVID regulations - plenty of outside seating available! Over 40 types...",5
1BxKFjQV0lo7sQgGEgF2vw,Had a quick and easy lunch here - friendly place with one harried waitress (Julianne) managing with the bar tender - and she did a great job. Kept her cool...,4
5iQ5PauGUEbOe5_aNIC4dQ,"Here are the PRO's:
Cute Irish bar, good bar food and they have darts!   
There is only one con but it was a big one... the girl that waited on us was very...",3
Ft4p09YJ3l14ISg7SPfPBQ,"One of my favorite small neighborhood pub when am in the west beacon hill/Charles street area. Walk in the commons, say hi to the ducklings and then walk up...",4
pVUi8HLflSQesbW3kwSR0Q,Like a 3.5 stars. Came here for brunch when everyone was super hungry. It's a decent spot if you're in the area and don't want to wait for Milkweed a few...,4
X3tTVBS4X8UBBDyrZhN31g,The food is good for the convenience. I truly believe it is a great spot for drinks though. The night before I went for food I got the No. 11  lemonade (I...,3
dR28QykgysbjRPYzo_7gbw,"Having been here three times now I can confidently say it is underwhelming to say the last.  
The decor is fine. 
Service ok - friendly but forgets waters...",2
qYnOHtnaXTWmGoZ88OL_FA,"Love this place, made a reservation for my birthday on a Monday night. Place was obviously empty due to the virus and it being a weekday but they treated us...",5
