id,RId,Text,Rating
2s4BPlsqvM4fV5F_MkF40g,G3BKxIf-ZP0A8WCJAQx8Og,A newer spot in back bay that is good for a casual chic date night - dimmed light and counter/side by side seatings create a relaxed and intimate ambiance....,4.0
2s4BPlsqvM4fV5F_MkF40g,-ce06sMCGn-F4YyKq_hKTg,"Drinks and food were okay, a bit on the pricier side. Service was okay as well. I ordered a cup of their clam chowder and found it to be a too watery,...",3.0
2s4BPlsqvM4fV5F_MkF40g,AyriYNj2fZ9L1g_3KBNqaQ,"All dishes were on par.  

Lobster roll was bland, needed strong mayo and some acid, lemon.  Bun was doughy, not enough butter or any.  $28 is not cheap for...",3.0
4-Tp4hstdC5XVvO4otGkuA,v_E3K1n4Y1A6OwXfEUxPzw,FANTASTIC. Loved everything about Wink and Nod! Went on a Thursday night and our party of 6 was seated pretty quickly considering how busy it was. The...,5.0
4-Tp4hstdC5XVvO4otGkuA,H9QgxTxVU3IbQ6r5CFNVZA,"Great cocktails! A cool bar that's a little hidden. It's quite dark inside, has lots of booths and a small
Bar with stools to sit. On a Friday night, it was...",5.0
4-Tp4hstdC5XVvO4otGkuA,duVkBHwwnmLDUEoT5tOXgA,"The whiskey are so good here!! It's definitely a place if you want to grab good whiskey. The decor and ambiance is great. 

The only con I had was the food....",3.0
tKRg7pxR2Sw7aSrHTQS5mQ,yY0X5WBo-_S5RVs7R6vdOg,"I came here for brunch during the random 60 degree December Sunday this year. We had an outside table with a time limit of 90 minutes. Unfortunately,...",5.0
tKRg7pxR2Sw7aSrHTQS5mQ,zQRsB91Tj8YAPATW98M4Tg,"Warm Honey Glazed Biscuits - $14
2 Fried Chicken Sliders - $14
Fresh Fried Beignets - $10
Frozen Voodoo - $14
Brisket Boudin Croquettes - $9
Nashville Hot...",5.0
tKRg7pxR2Sw7aSrHTQS5mQ,uXYgBCTAcvY5d3ZJO0wddw,Buttermilk & Bourbon is my favorite restaurant in Boston in 2020. Went up to Boston for my birthday in late October. It was a bit too cold to eat outside so...,5.0
xlOMKjE4omTgkI1eduWj8A,m-vV7fgW9MmFVga5FzJNLg,"I've reviewed the Cambridge location (RIP) but it's time to give the Back Bay location some love as well. 
This was one of the last Boston restaurants I ate...",5.0
xlOMKjE4omTgkI1eduWj8A,WiJXYBLLo2Tn2IsrQrlemw,I've been here a few times but never bothered writing a review. I came here during COVID the other day. I needed a good dinner and this was one of the few...,5.0
xlOMKjE4omTgkI1eduWj8A,u-zrMdL6Jx5aTDlcSLfigg,"Just wanted to update my review since I hadn't since COVID. Was so sad to hear their other location closed, and just want to reassert that this place is the...",5.0
LNS4vQq-j5VCiPbM19gl9g,NcFoTJ-g4HQP9k8HZ6NQGw,LUCIE drink + dine is an excellent addition to the neighborhood. Very cool and unique. Everything I have ever bought here has been fresh and tastes...,5.0
LNS4vQq-j5VCiPbM19gl9g,nI-QP4hg78JEKv6TNIPXTA,I LOVE that Lucie is now part of the neighborhood. I live around the corner & I feel like it's exactly what we've been missing. The drink menu is AWESOME &...,5.0
LNS4vQq-j5VCiPbM19gl9g,liVqH-YxTZ6ity5TeCW9ZA,"I went to Lucie last night and it definitely lived up to my expectations! Everyone from the hostesses to the bartenders, servers, and managers seemed very...",5.0
xZ22_0eJOgaiKqIhoSHrPw,JtyWzLkWf_a5CcmhReOu_g,"Stumbled upon this place during quarantine while liking for a good Mac and cheese!

I have never visited The restaurant before but in case anyone is like...",5.0
xZ22_0eJOgaiKqIhoSHrPw,M_zZ8Hon1prM0viOx9sroA,This was one of the few places open late near our hotel during the pandemic. It is walking distance from the harbor. There was indoor and outdoor seating so...,5.0
xZ22_0eJOgaiKqIhoSHrPw,3NNp9kHoB1hFkBO4yo-A7g,"First of all, let me say this review is not 5 star because we have all been living in a pandemic....it's truly a 5 star experience with or without a...",5.0
mP1EdIafQKMuOm9O4PzAfA,FAkIDzUcCuyVHJlo8UDrIA,The tapas at Barcelona cannot be rivaled! I am glad Barcelona is offering take-out during COVID to remain safe. Ordering take-out online through their...,5.0
mP1EdIafQKMuOm9O4PzAfA,MOI1uQmtcVVUL4DDAcNZUw,"What a perfect night! Sitting on the outside patio with sangria in hand, tasting delicious octopus and jamon really sent me back to Spain and pre-pandemic...",5.0
mP1EdIafQKMuOm9O4PzAfA,p0YKXKfbGLCQTs_n-upPNw,This was the last place I ate it before quarantine and it did not disappoint. The place slowly gets packed after 6:30PM. The ambiance is very nice and the...,5.0
367aDatN4B0UNT4hNPMqPQ,laiBbbPPqJuttPl1jDGUdQ,"Best place for brunch! I love coming up to Boston for brunch at the Beehive! They have great food, drinks and atmosphere. When it is not Covid times they...",5.0
367aDatN4B0UNT4hNPMqPQ,-v2RvN9dk_ui2Q0w7PAiHA,Had a great brunch at the Beehive! Got the coffee cake and the shakshuka and both were super good. All of the tables were decently separated and all of the...,5.0
367aDatN4B0UNT4hNPMqPQ,GpXlfK_sYK369A5cXugwFg,"Located in the middle of the downtown in a cute place. Social distancing very much practiced. Nice seating outside, there are some seats inside for the...",5.0
QFEEm3joTWU5ZF4suCuRPQ,8SPCWXDnULYkwMHMkaSJIQ,"Posting a little late from back when it was still warm enough to eat outside, but I'm definitely pumped for the next time I can come back! This place has...",5.0
QFEEm3joTWU5ZF4suCuRPQ,_zO2XktLiM6hNwWXNZh63g,We stopped here for an afternoon beer and they did not disappoint! We got the nachos with pork which were layered really well (v important when it comes to...,5.0
QFEEm3joTWU5ZF4suCuRPQ,NaJNN66pRojtU3Pf5fX7wQ,"Fun bar, great brunch, really good mimosa bloody Mary's and the food was spot on . Really good service very responsible during these COVID times that make...",5.0
nIS4O-TwLYkA_P1Cu0SfhA,PpJyuqol-w3pEr8EDgWOyg,"Last night @yvonnesboston First time trying this well recommended place in downtown Boston. The best part is the well designed ambience. And, they follow...",5.0
nIS4O-TwLYkA_P1Cu0SfhA,JPa4r8tX3tYjcR6Mj5yHuA,"One of my personnel favorite dinner spots in Boston! A bit hard to find, so make sure to search up the place if it's your first time (you have to turn right...",5.0
nIS4O-TwLYkA_P1Cu0SfhA,nlTOqfaO06eU8OiXP6yhng,Chose to celebrate our anniversary here on a Tuesday evening and so glad we did! Everything was amazing. The ambience and and service were spectacular. Even...,5.0
Svxkliw-2cfHifMK8EvkIQ,eADyGm_ogUv_HerbzX4EWw,"Inside the Lenox Hotel

First, we walked in and there was only one little table available for us to sit at, but it was perfect for just the wifey and I. We...",5.0
Svxkliw-2cfHifMK8EvkIQ,-ek9pb_g3S8SQa5c-lsNyA,"Great cocktail list. Strong, tasty drinks. We always grab a drink here before dinner when we stay at the Lenox. Raw bar is surprisingly good and their...",5.0
Svxkliw-2cfHifMK8EvkIQ,jvvOAem-114MIRwhTc3yyA,"I sauntered up to the bar, I was surprised when Maisie Williams' blonde sister turned around to greet me. A twinkle in her eye, and maybe murder in her...",5.0
NYa-JphaaB41ElGsb3iawA,PIyS7TGBmNeuQl-A3vmJUg,I ate at Toro 2 days ago after it was highly recommended to me by friends & it definitely did not disappoint! The cocktails were delicious & the food was...,5.0
NYa-JphaaB41ElGsb3iawA,WY8Mtkb4Di3lFZVSWX1Cfg,Such an amazing little tapas place! I had gone right when the opening phase of coronavirus had reopen restaurants. Toro had accommodated the requirements...,5.0
NYa-JphaaB41ElGsb3iawA,-64uBUxZ4hk0BYxpqb82Tg,"Ahhhhh what is not to like. One of the best restaurants and experiences in Boston. The service is great. The food is unbelievable. The cocktails, wine, and...",5.0
4lMpwHFzxmirHqLSsj8BjQ,-rbhNRiC8uofVQp7haZh0g,"Came here on a night because of taco cravings and it was really a pleasant experience!

Partially was because when we came, there was no one else here so...",4.0
4lMpwHFzxmirHqLSsj8BjQ,Dad96JsNVSq-84B2XSyqsA,"This was my first ""nice"" outdoor dining experience since the pandemic started and I had an amazing time! The restaurant is situated in a walled outdoor...",5.0
4lMpwHFzxmirHqLSsj8BjQ,J3q3nzI7_QyqsGjyhU7uqg,"Enjoyed a date night here in Cosmica's cozy outdoor patio. The space is charming and has lots of Instagram worthy shots, from the signage to the drinks it's...",4.0
X0mY5Pf7Fj_kfWmwDEqwdQ,11ikGbHo3I58hcj0WVsfNg,"Great find. This was exactly what I was looking for after a long day of work. Good food (Steak tips), good beer selection and Great Service. Weird times...",5.0
X0mY5Pf7Fj_kfWmwDEqwdQ,FNeO-xxNtyT2ChAR7rcnhg,"highly recommend the beyond burger (their standard burger is good too, I just prefer beyond meat)

their fried chicken sandwich is also great

only think...",5.0
X0mY5Pf7Fj_kfWmwDEqwdQ,0dFwHl_cLOTDVk_fbN3amQ,"Great burger spot in Chinatown.  If you're looking to get some non-Asian food in the area, this place has great burgers and a great place to watch a game....",4.0
Q8g68ZDAt93h_n_wTbwshA,hrUf0AnqJq1vBX36XsAcAQ,"You MUST come here if you're visiting Boston. This is one of the coolest restaurants I've been to, in terms of the food, the decor, music, and overall...",5.0
Q8g68ZDAt93h_n_wTbwshA,vuM9Z8EI9enzvFD-A0whLg,Absolutely AMAZING. I had low expectations ordering take out from this restaurant but the food and the staff has exceeded everything! I have ordered take...,5.0
Q8g68ZDAt93h_n_wTbwshA,Wv9kAbm-Gcztzlhz_lxNSA,Came here pre-COVID while on a trip to Boston. I'm generally not a fan of Asian fusion but this place did it right. Cool vibe matched with cool food and...,5.0
5HMXgD_gui5n0Tc_hadesg,E_ar5MpOgK_XDJHsXDOmMw,"Didn't expect it but, The Gallows was truly incredible. The ambience is lovely. The people working there are always so pleasant. Every thing that I have...",5.0
5HMXgD_gui5n0Tc_hadesg,qGDzpSmzu6oHiI9bJvmAiQ,"This is such an ecclectic space - there's ravens and an edger allan poe poem on the wall, hand lights over the bar, and a huge ouijie board on the wall. The...",5.0
5HMXgD_gui5n0Tc_hadesg,uKgdOv2xGCGxJlpbXp3Aug,The Gallows has the best burger I've had in Boston so far. And this is coming from someone who loves her burgs! I came in last night with friends for...,5.0
K676uk86gZfTBbXw9TvbMw,Pm4wQaDhCH8EumTnyAq6UA,"Used to love this place! Sasha is one of the only people there from the old crew. The service has gone down and they got rid of the best pizza on the menu,...",5.0
K676uk86gZfTBbXw9TvbMw,BkuWE_dHRVogjrm9PtzcKw,"This bar isn't what it use to be. Earlier this year they brought in a new manager who drove all the loyal bartenders,  who had been working there for years,...",1.0
K676uk86gZfTBbXw9TvbMw,AgMcnXZWKy0RcZvSWMQbmg,"After leaving a PHENOMENAL drag brunch at Carrie Nation, I was told that we were headed to 'THE GAY BAR' so I had high expectations.  When we pulled up I...",3.0
l6Ye6vPB6ZPZbxVxMMgvPQ,e8N0dW-Rfn-7yKpRz-HOCQ,Updated hours are 9:30p for Dine-in due to COVID restrictions. Take out till 11p (on most platforms for delivery).,5.0
l6Ye6vPB6ZPZbxVxMMgvPQ,8CQiNv0LPE2TOw9FnQt6Zw,"The scenery and music was amazing! I would definitely go back for more food! I ordered the shrimp with fries and side of asparagus, by far the best  meal...",5.0
l6Ye6vPB6ZPZbxVxMMgvPQ,t6onupw0OJS3cYtxbN4n1A,A little inconsistent. Ate here twice. First time service was amazing got a regular burger although not cooked medium as asked it was still juicy and...,2.0
m1ertlgQIxAl74D7nCsvbQ,LBg9Yx0iyiovlIcvfpwBvQ,Stopped in midweek for lunch between Christmas and New Years without a reservation about noon. It was a great meal and wonderful experience.  Service was...,5.0
m1ertlgQIxAl74D7nCsvbQ,sRkFh-LxwsKx5m8DeOcfow,Had a great time here. We came on a Sunday and it was busier than we expected but still with covid regulations. As you can tell by the photo I didn't get...,5.0
m1ertlgQIxAl74D7nCsvbQ,H3jHlIbUB0QTmLxKfDwSpg,Kelsi is so sweet and offered amazing service while I was here! The food was amazing and I appreciate all of the extra measures done to make sure guests are...,5.0
u21_m6mewRV6pTMn9DCosA,WvxhSES1ffZTw-urxteL2Q,"This place is off the beaten path for the seaport district, which I suppose is why it has taken me this long to come here...but man I've been missing out!...",5.0
u21_m6mewRV6pTMn9DCosA,vtkOUohl-6SX18SxB29V7w,"We had FANTASTIC takeout from City Tap House Boston. This is the first time I've ever done takeout brunch, so wasn't sure how this was going to go but I was...",5.0
u21_m6mewRV6pTMn9DCosA,4_WQSBj7rH5v0lGjJBaWLQ,"Delicious food! Although they might be short staffed due to the pandemic, service is a little slow. Our server was apologetic about this, and he was very...",5.0
MKIngNGj0_cBKV4leGuCjw,XBPbYLGMNCuFv8IBYyncIg,"I have to admit, The Tip Tap Room was actually phenomenal. Delightful menu items at great prices, amazing mood to unwind at. I need to admit, Baked Brie was...",5.0
MKIngNGj0_cBKV4leGuCjw,jx8bfjRF32LsUqKTds6E2g,"American food with a twist: if you're craving an antelope burger, then this is the place to go.

They usually have a featured burger with some sort of...",5.0
MKIngNGj0_cBKV4leGuCjw,96f2MkDjZXELAiw1sqy7_w,"Had the pleasure of staying near this location, and with so many options nearby and overall in a new city, I am so glad we picked this one!

Most write this...",5.0
rdpY_LeMnDnfeK47eDnDOw,p4qp9FeLaW3LS5gCyVtrOg,"Fruity Pebble Pancakes - $13

Lincoln is a great place to have brunch in Boston! I got the Fruity Pebble Pancakes which is a stack of pancakes topped with...",5.0
rdpY_LeMnDnfeK47eDnDOw,J3eOHwqNgN-8_vB6aEARcw,"If you come here for brunch, make a reservation beforehand! The place gets packed very quickly even though the restaurant is huge. The staff wore their...",4.0
rdpY_LeMnDnfeK47eDnDOw,uzLONLT3kpO4aRlujTNZRg,Came here for late night drinks and food and our waitress was amazing! We're very cautious about covid and they were very good with their rules and made us...,5.0
JX8z_4daLZFoeju7cccS-w,nstQuD-lAxW8e-Shi4GcyA,"Avery Bar is sexy. Located in the lobby of the Ritz Carlton, the bar is horse shoe shaped, behind a fireplace. There are also tables and chairs if you...",4.0
JX8z_4daLZFoeju7cccS-w,QHiI404488CHYH1t6RNR8w,The room and music is why i gave 2 stars. the drinks were ehh. The food was microscopic and fair. What a great disappointment. I live in the city and im...,2.0
JX8z_4daLZFoeju7cccS-w,MvdSHtTE9EFFRS3Oge2aDA,"Cozy, modern, and for now what feels like a hidden gem in the Chinatown/Downtown area. Located in the Ritz-Carlton lobby, which means free WiFi for all. The...",4.0
UoAbVHm6A04avk-QIhiWYQ,gNWR620mat3T6nCsHm3JZA,"This is a true dive bar in the North End. Yes, it's on a corner and yes, we passed it several times before finally going in. You won't find any specialty...",4.0
UoAbVHm6A04avk-QIhiWYQ,F238C8aGgLrcwcVXZqaZyA,"True Score: 3.5 Star Dive Bar for the North End

Best Dive in the North End

A great place to stop for a pint - or two - or whatever kind of booze ya...",3.0
UoAbVHm6A04avk-QIhiWYQ,7uMLYdxNVZbXSygDTRiBdw,"Great dive bar in boston. super small but just exactly what my boyfriend and I needed to grab a few drinks without raking up our tab with food ""to order...",5.0
BlULiGXlf_GkJA_ZkerniQ,DA8aKk6IDeqAG7BpzmCM3g,"This place is simply awesome. Really cool out-of-the-box date concept or fun night with friends or family, especially during this pandemic. We were warmly...",5.0
BlULiGXlf_GkJA_ZkerniQ,w0-5GvATkFojF0tkmgKAzA,"Pre covod review: Came here for a friends birthday and it was a great time. As a warning, once your time is up from the darts area, even if the next group...",4.0
BlULiGXlf_GkJA_ZkerniQ,zFIbyFs50OI8FsiCBjH4aw,"Admittedly, I had a weird feeling walking in and through this place, which is on the second floor in the same building as Tuscan Kitchen Seaport. It's very...",4.0
7bq2nCYCPuvI5o2GCFRAeg,wfTTKJw0pK1EdUYl18ZbIg,"Great place. 

Came here with my son (28) to discuss the upcoming season of Chicago Fire during a pandemic. We have high hopes for the new season as a...",5.0
7bq2nCYCPuvI5o2GCFRAeg,CT5ZSJ5nMWn26zc39VoDew,"A good divey bar that seems really tied to regulars. Having been to dinners in the area on numerous occasions, I'm surprised I've never even noticed this...",4.0
7bq2nCYCPuvI5o2GCFRAeg,Dd2z_0TuTkaRLuuOKRmbFQ,"Gotta love this beer bar right in downtown Boston. Beer, wine, & quick-hit food. What more can you ask for? Owners that run Bukowski are the best too!",5.0
MkjhW1dVbl3e0AxBL0oXKw,Rgr4O0X_mIj7oqvRJAp6Xg,Had a really pleasant experience coming here late on a Friday night. I was very easily able to reserve a table and change the time using Opendoor. The...,5.0
MkjhW1dVbl3e0AxBL0oXKw,Nx6QyaNodX64r9RDvv6TfQ,Loved this spot right on the exterior of the north end. Definitely Covid friendly and plenty of space between tables in the outdoor section. Great all...,4.0
MkjhW1dVbl3e0AxBL0oXKw,X9-ttVo3OTvx56yTsQQzdQ,What a great new patio they have!  This place was always on our favorites list but the patio just took it up another notch! I really hope they get to keep...,5.0
ZFCJr_QRGPVKerWCkvR7SA,a8aJOz8eVYV_2AiFFHMC9Q,"This is my go-to spot for hotel bars. It has great drinks all around and even better food, especially during dinner time. Bar 10 could be expensive for...",4.0
ZFCJr_QRGPVKerWCkvR7SA,f-tgrSj30FyNCEmyzvAZHg,There's no shortage of bars to go to in the Copley/Back Bay Area for cocktails after work but this was one of those spots I've never even heard of. Luckily...,3.0
ZFCJr_QRGPVKerWCkvR7SA,prXKNjLZp79yosuP7gWVRw,Went here because I was staying in the Westin.  Service was pretty good and my drink was good but the food was just alright.  I think it depends on what you...,3.0
n-5xA19txqjxmRdKB3A6bg,OKtGHxK35QJKrSLmnFNFIA,"A very interesting place, I would highly recommend stopping by. The unmarked door that leads to the second floor off of Mass Ave, that's where you're...",4.0
n-5xA19txqjxmRdKB3A6bg,udatjkTijBhwDDSxKfxuWg,Solid 3 star spot for cocktails. The drinks are good but the service is extremely SLOW! Even when it isn't that crowded if you wait on the waiter to get you...,3.0
n-5xA19txqjxmRdKB3A6bg,bvKVuzOpw7jFFk_5_BSQiw,My good friend was giving me recommendations when he learned I'd be in town. He knows I like a good cocktail because it's in my Twitter bio. Anyways my...,5.0
lCMN0raxlHnBFDoLgkz4sw,m5EiiXcJ5OVH7r0lz4gOng,What a cute spot! Was looking for a late brunch spot and stumbled upon this gem I had saved! It was right after brunch so it wasn't to busy we sat down as...,5.0
lCMN0raxlHnBFDoLgkz4sw,xhxlHhsXf4CE-_Iwx5ohnA,The service is amazing. The place has a great vibe and well protected from Covid. The Irish Coffee is the best I ever had. And the cheesy grits are some of...,5.0
lCMN0raxlHnBFDoLgkz4sw,Zje2joPUoNK4saSb1bOgig,"Becca:
Came here on a Sunday morning with a friend from out of town. We joined the ""Yelp waitlist"" which they're apparently no longer doing during COVID....",5.0
XoBvgETT2RYIhQ_DQgLjsg,ORqvH2vW-mTZlwzf95HRtA,"Last night we had the most incredible food at Bar Mercato!!! 

We were a group of four and all agreed that everything we had was fabulous. 

I was...",5.0
XoBvgETT2RYIhQ_DQgLjsg,HdkrmbdkCtqgq6OV4HzPvA,Great cocktails! Great food! Prompt service! Felt safe during Covid with current precautions! A must try during these times!,5.0
XoBvgETT2RYIhQ_DQgLjsg,FGk-Oh5xOrrcKLMOZiSEBQ,Came to Bar Mercato after returning to the office from a long stint of working from home. I had been to lunch here previously (pre-COVID) and was happy to...,5.0
kOqVXdqRzWIEK7XiQWxmJQ,BDunkD4GubsTWrZ5ORH_Gg,My bf and I went to Boston for the weekend from Miami. We ended up at The Corner Tavern and it was great. Danielle ( I think that was her name) was very...,5.0
kOqVXdqRzWIEK7XiQWxmJQ,d-xmCIn7up1mki_IRR3U_Q,"Such a friendly place and the food is as tasty as ever. Love the Buffalo chicken wrap, cobb salad and grilled cheese....and of course the tots. Thanks to...",5.0
kOqVXdqRzWIEK7XiQWxmJQ,Hi-u8luMkVjn1IA-rPvP4w,The Corner Tavern is like stepping back in time to when a local corner pub would serve all your purposes and you would have a great experience a great time...,4.0
JwJa6nY_wlZEjagVleWQ-Q,FCpkuwWAMvkbY0MM0LjM4g,Fun tourist spot! Small inside but didn't have to wait at noon on a Friday in October. They were so nice to offer us a big portion of fries for $2 because...,5.0
JwJa6nY_wlZEjagVleWQ-Q,ntjdxunypCoFs_-7hqWFdg,"We all know I am a goon, but I can get worse. My earliest memory is watching Cheers with my dad on the floor of our 3rd floor apt. While my mom worked night...",5.0
JwJa6nY_wlZEjagVleWQ-Q,1fV6vPyX1yjqkNkEiKvnhg,"A must when visiting Boston. It is kind of touristy but the food and drinks were surprisingly good. Get the clam chowder in a bread bowl!

There was a long...",4.0
b8_a5LuSt0Gcy-TZIvDl3g,nDYcrf6LWxRNIEWHKIY72g,Okay I've been here 3 times now and each time it's gotten better. I came here with my bf the first weekend it opened and as expected... I guess... (though...,4.0
b8_a5LuSt0Gcy-TZIvDl3g,dz7DoQSJBSUjYuyDW8Pzqg,"I live in the area and I've been a few times. Bar service + brunch is the way to go here, at least in my experience. 

The good: it's a cool space in the...",4.0
b8_a5LuSt0Gcy-TZIvDl3g,WlWtkUyVyLf2aG5d1yfKXQ,We came here for lunch during the pandemic. The arrangement was good with outdoor seats and indoor seats by the open window which we sat at because if t was...,4.0
1aQpK-diOf5B2aA17F8GZw,lgR4upiTlgn7sGEuyggtqQ,We were staying at the Roxy and tried this place right across the street at the recommendation of the hotel. The phone number is wrong for this place and...,5.0
1aQpK-diOf5B2aA17F8GZw,LusVQlNe6aKkHPqNaWSLxw,Great service! Came out for Valentine's Day date. Great drinks! We got Bloody Marys and the fried pork belly!  Cute garnishs and perfect for Valentine's...,5.0
1aQpK-diOf5B2aA17F8GZw,CCX6m7Z7n6Yh4vAivZks9w,This place took over the old Ghost Walks location. Large bar area in the middle and seating around the periphery. The seats are separated by plexiglass...,5.0
ae1ZClWkPyncMNmbpG60RA,6nwO3T8hs5OKLOF9LN9RnQ,"I was looking for the best authentic Nepalese food experience in Boston and I found it. 

First thing foremost is the food. The most perfect and flavorful...",5.0
ae1ZClWkPyncMNmbpG60RA,UKoz2mwiURLxAtYkWJsVbQ,"Its relatively new restaurant mainly for Nepali x Indian food.  The food was tasty, made spicy or moderate as per request. The ambiance was contemporary and...",5.0
ae1ZClWkPyncMNmbpG60RA,EH7ljYm8fTk1deThRv8ieg,Amazing! Finally found the right biriyani!!! So good. Perfectly spiced. Chicken 65 was great Chinese/Indo mix. Samosas could be a tad bigger. I love them...,5.0
FyYDej3MRxz1uaDJCZMToQ,mqFAyzfk7arTqt78OpiwhA,"Drinks are good, atmosphere is chill
We are enjoying our post walking tour of Boston,
Sitting down for a drink! If you are lucky you will coach the Tea...",3.0
FyYDej3MRxz1uaDJCZMToQ,AEVZYkTnNa2uMc0Vp7K7SQ,"I was in the city visiting with one of my friends and we had a couple of hours to kill. We wanted something waterfront, fun and close to home! She had...",3.0
FyYDej3MRxz1uaDJCZMToQ,fShKysQQUZ3wzknGTk-knA,"This is a hidden gem of an outdoor bar, and has an incredible atmosphere. Located right on the water, it almost has the feel of a bar you'd find in Aruba....",5.0
rU0hKHmjQHX63ymqF7-9TQ,evSJ3YNFKRtVVcAPePr0sw,"What a great spot! We loved everything- the food, the drinks, the service and the atmosphere! 
They had taken COVID 19 Precautions very seriously which was...",5.0
rU0hKHmjQHX63ymqF7-9TQ,JvSQY40YhgjdnbjbeJNHuw,"Came here in early September and it was amazing, and kept forgetting to leave a review until now. The waitress described the menu as global tapas, so...",5.0
rU0hKHmjQHX63ymqF7-9TQ,kUlCBoZQIF5MjzX8oK6__g,"I felt compelled to leave a 5 star review because the food and the service was exceptional! After dining out a handful of times after COVID, our experiences...",5.0
itOs1rPS8j8sakiwsl1PEw,8k58j76tBzSNdsQy-jvIdw,"Food was great. 
Our server wasn't. 

Might give this place another try. 
Hopefully we can get a different server.",4.0
itOs1rPS8j8sakiwsl1PEw,Xy1Ty2R2fAimI6_BGYQOGg,"I try to be understanding of the Covid situation and am *more than happy* to wait a few extra minutes knowing most restaurants are understaffed, but why...",1.0
itOs1rPS8j8sakiwsl1PEw,tJHzdtcEFkPEsya3wJmp5Q,"I am not someone who goes to Brunch but t wasn't late enough for lunch so we stopped in at Precinct for brunch, selecting it for the outdoor seating.

I am...",5.0
JuTlOfaUDnqnNEG8QYnYrw,q5lXwJoAuqx6Hpurs8Nx8g,"Everything you want from a great pizza.  Chewy base, sweet tomatoes, melted mots, fresh basil.  A little burned from the wood fire.  A taste of naples....",5.0
JuTlOfaUDnqnNEG8QYnYrw,UQ9CziAZqxYRWRUIEP3NGQ,"Good ambience, average food.

The green goddess salad was smothered with dressing.

The pizzas were average - chewy thin crust and lacking good flavor....",3.0
JuTlOfaUDnqnNEG8QYnYrw,rOA0rP-DhNbAzNyP0AZ1Qg,"1 million stars for DELICIOUS food.

Negative stars for...terrible service? It was beyond the beyond. We didn't have enough menus, and asked twice for them....",3.0
RJfovzPhmdt-pYHnFboM8w,f3u3bYIfwpvJE_sKMa-GaA,I was so glad to see the avenue open up since covid so I could get their chicken wings! They have outdoor setting but I've only done take-out and it was...,5.0
RJfovzPhmdt-pYHnFboM8w,Uy3jKDRtrD6JJQqlc9n5Tw,The Avenue is one of my favorite neighborhood spots that I have missing a lot since the covid-19 outbreak. My fiance and I went here on a regular basis and...,5.0
RJfovzPhmdt-pYHnFboM8w,85MdegYIROcU0ZrYrioaOg,"Didn't expect it but, The Avenue was certainly mind-blowing. From the staff to the atmosphere to the prices, no complaints about The Avenue. We had Mind...",4.0
WDpPZYEZhf7LLv3PyTeb4Q,4cxYbin55CMWy_KBJqSTVA,My friends and I had a great experience at Gather! The safety measures were taken very seriously and despite dining in doors we never felt at risk for...,5.0
